[2023-11-17 15:54:22,297] [basehttp.py:212] [basehttp:log_message] [INFO]- "GET /admin/interview/candidate/5/change/ HTTP/1.1" 200 35037
[2023-11-17 15:54:22,341] [basehttp.py:212] [basehttp:log_message] [INFO]- "GET /admin/jsi18n/ HTTP/1.1" 200 8560
[2023-11-17 15:54:34,627] [basehttp.py:212] [basehttp:log_message] [INFO]- "GET /admin/interview/ HTTP/1.1" 200 7291
[2023-11-17 16:40:50,160] [basehttp.py:212] [basehttp:log_message] [INFO]- "GET /admin/interview/candidate/ HTTP/1.1" 200 49899
[2023-11-17 16:40:50,224] [basehttp.py:212] [basehttp:log_message] [INFO]- "GET /admin/jsi18n/ HTTP/1.1" 200 8560
[2023-11-17 16:40:50,309] [log.py:241] [log:log_response] [WARNING]- Not Found: /favicon.ico
[2023-11-17 16:40:50,310] [basehttp.py:81] [basehttp:handle_error] [INFO]- - Broken pipe from ('127.0.0.1', 60203)
[2023-11-17 16:41:36,246] [basehttp.py:212] [basehttp:log_message] [INFO]- "POST /admin/interview/candidate/ HTTP/1.1" 302 0
[2023-11-17 16:41:36,331] [basehttp.py:212] [basehttp:log_message] [INFO]- "GET /admin/interview/candidate/ HTTP/1.1" 200 50257
[2023-11-17 16:41:36,378] [basehttp.py:212] [basehttp:log_message] [INFO]- "GET /admin/jsi18n/ HTTP/1.1" 200 8560
